"status_id","created_at","user_id","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970124473956519941",2018-03-04 02:31:13,"x937772526385729536","YMcBride318","@blakeshelton Take care of yourself, Blake. This flu bug is nothing to mess with. Feel better soon. Love you 💜💜","Twitter for iPhone",97,"x970049175428706315","x14920785","blakeshelton",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x14920785","blakeshelton","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970124433225547776",2018-03-04 02:31:03,"x3593643149","carmenbrunisaki","RT @blakeshelton: Friends, I have been battling the flu the last few days and today it has gotten the best of me. I rarely have to postpone…","Twitter for Android",140,,,,FALSE,TRUE,0,435,,,,,,,,,,,,,,"x14920785","blakeshelton","en",,,,,,,,,,,,,,,,"x970049175428706315","Friends, I have been battling the flu the last few days and today it has gotten the best of me. I rarely have to postpone a show and I apologize to everyone who had their Saturday night plans to spend it with me and the other Freaks on the “Country Music Freaks” Tour.",2018-03-03 21:32:00,,6119,"x14920785","blakeshelton","Blake Shelton",20852166,709,10608,"Tishomingo, Ok","The Official Blake Shelton Twitter. You're getting the real BS straight from Blake himself. (And a few official updates from Team BS too)",TRUE,,,,,,,,,
"x970124350106976256",2018-03-04 02:30:43,"x760337039963230208","azarraga_felina","RT @AprilPerk2012: Bucket list= see @blakeshelton in concert... DONE!!!!  Aaannnddd even with the flu!!! It was A-MAZ-ING!!  Thanks for a g…","Twitter for Android",140,,,,FALSE,TRUE,0,8,,,,,,,,,,,,,,"x2959808544 14920785","AprilPerk2012 blakeshelton","en",,,,,,,,,,,,,,,,"x969957653484056577","Bucket list= see @blakeshelton in concert... DONE!!!!  Aaannnddd even with the flu!!! It was A-MAZ-ING!!  Thanks for a great show!!!! 🍻🥃👍🏼🎶 https://t.co/RFHveChxAw",2018-03-03 15:28:20,,36,"x2959808544","AprilPerk2012","April Perkins",146,187,286,"rockwall","Wife, Mom of Twin Boys, 8th grade ELAR teacher in RISD ... Reading gives us someplace to go when we have to stay where we are. ~Mason Cooley",FALSE,,,,,,,,,
"x970124316577882112",2018-03-04 02:30:35,"x240639318","arguemi","RT @WebMD: Colds usually last 3 to 7 days, but sometimes they hang on as long as 2 weeks. If you’re under the weather for longer than that,…","Twitter Web Client",140,,,,FALSE,TRUE,0,42,,,,,,,,,,,,,,"x25928253","WebMD","en",,,,,,,,,,,,,,,,"x969995828193648640","Colds usually last 3 to 7 days, but sometimes they hang on as long as 2 weeks. If you’re under the weather for longer than that, one of these things could be to blame: https://t.co/SrAejLWb3i https://t.co/sZPJqzy67i",2018-03-03 18:00:01,,39,"x25928253","WebMD","WebMD",2941834,404,31613,"USA","WebMD and our medical team bring you the most trust-worthy and timely health news and information.",TRUE,,,,,,,,,
"x970124187909042177",2018-03-04 02:30:05,"x280088730","Brandle07","Food poisoning/stomach flu has caused my colitis to flare up 6 days before my vacation. Not cool. Need to feel better by Thursday. https://t.co/mU0BzZOWhi","Twitter for iPhone",130,,,,FALSE,FALSE,0,0,,,,,,"http://pbs.twimg.com/tweet_video_thumb/DXaSyJ_VMAEquJ9.jpg","https://t.co/mU0BzZOWhi","https://twitter.com/Brandle07/status/970124187909042177/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/DXaSyJ_VMAEquJ9.jpg","https://t.co/mU0BzZOWhi","https://twitter.com/Brandle07/status/970124187909042177/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970124105943941120",2018-03-04 02:29:45,"x163498972","GulfportPatch","Told He Had Flu, Florida Teen Battles Cancer — And Cyberbullies https://t.co/2F23U6Y0Jx https://t.co/wF9tzs4FFo","dlvr.it",87,,,,FALSE,FALSE,0,0,,,"dlvr.it/QJdd88","https://t.co/2F23U6Y0Jx","http://dlvr.it/QJdd88","http://pbs.twimg.com/media/DXaSu2VVQAAKPcu.jpg","https://t.co/wF9tzs4FFo","https://twitter.com/GulfportPatch/status/970124105943941120/photo/1","photo","http://pbs.twimg.com/media/DXaSu2VVQAAKPcu.jpg","https://t.co/wF9tzs4FFo","https://twitter.com/GulfportPatch/status/970124105943941120/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970124104111046656",2018-03-04 02:29:45,"x163514247","PalmHarborPatch","Told He Had Flu, Florida Teen Battles Cancer — And Cyberbullies https://t.co/eohxWvVQPg https://t.co/9T3oLDh3Yn","dlvr.it",87,,,,FALSE,FALSE,0,0,,,"dlvr.it/QJdd87","https://t.co/eohxWvVQPg","http://dlvr.it/QJdd87","http://pbs.twimg.com/media/DXaSuxoU8AAKRqT.jpg","https://t.co/9T3oLDh3Yn","https://twitter.com/PalmHarborPatch/status/970124104111046656/photo/1","photo","http://pbs.twimg.com/media/DXaSuxoU8AAKRqT.jpg","https://t.co/9T3oLDh3Yn","https://twitter.com/PalmHarborPatch/status/970124104111046656/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970124066593030144",2018-03-04 02:29:36,"x750515792","LutzFLPatch","Told He Had Flu, Florida Teen Battles Cancer — And Cyberbullies https://t.co/rXfr2MmreL https://t.co/pFWJicCzXy","dlvr.it",87,,,,FALSE,FALSE,0,0,,,"dlvr.it/QJdd7p","https://t.co/rXfr2MmreL","http://dlvr.it/QJdd7p","http://pbs.twimg.com/media/DXaSskyVMAAdQ6P.jpg","https://t.co/pFWJicCzXy","https://twitter.com/LutzFLPatch/status/970124066593030144/photo/1","photo","http://pbs.twimg.com/media/DXaSskyVMAAdQ6P.jpg","https://t.co/pFWJicCzXy","https://twitter.com/LutzFLPatch/status/970124066593030144/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970124024536682496",2018-03-04 02:29:26,"x585861542","AmyDianne_","My dad always does this thing where he says “flu” after he sneezes because he thinks he’s getting sick. So he’ll be like “Achoo! Flu!” &amp; it’s so funny to me.","Twitter for iPhone",161,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970123768000589824",2018-03-04 02:28:24,"x888820507814113280","munchkinxcaits","Guys I seriously can’t win. A week and a half ago I had the flu &amp; now it’s possible I have strep throat which stemmed from the flu https://t.co/xHr3r8Aubc","Twitter for iPhone",134,,,,FALSE,FALSE,0,0,,,,,,"http://pbs.twimg.com/tweet_video_thumb/DXaSa6KVMAAB-wX.jpg","https://t.co/xHr3r8Aubc","https://twitter.com/munchkinxcaits/status/970123768000589824/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/DXaSa6KVMAAB-wX.jpg","https://t.co/xHr3r8Aubc","https://twitter.com/munchkinxcaits/status/970123768000589824/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
