"","str_sub.a.3...2..3."
"1","TX"
"2","MN"
"3","AR"
"4","MD"
"5","TX"
"6","IL"
"7","Ne"
"8","Ne"
"9","AR"
"10","MO"
"11","NJ"
"12","PA"
"13","NJ"
"14","DC"
"15","CA"
"16","FL"
"17","IL"
"18","ON"
"19","NL"
"20","MN"
"21",NA
"22","ON"
"23","CA"
"24","OK"
"25","MD"
"26","IL"
"27","Sw"
"28","Ne"
"29","Ne"
"30","AR"
"31","MO"
"32","NJ"
"33","NM"
"34","NJ"
"35","DC"
"36","CA"
"37","FL"
"38","IL"
"39","AB"
"40","Co"
"41","FL"
"42","CA"
"43","NV"
"44","NM"
"45","UT"
"46","NJ"
"47","NE"
"48","Ec"
"49","ON"
"50","NJ"
"51","FL"
"52","AR"
"53","BC"
"54","CA"
"55","DC"
"56","TX"
"57","MN"
"58","WY"
"59","AZ"
"60","KS"
"61","CT"
"62","CT"
"63","CT"
"64","KS"
"65","CA"
"66","WA"
"67","To"
"68","CA"
"69","MN"
"70","UK"
"71","PA"
"72","IL"
"73","CA"
"74","CA"
"75","MN"
"76","IL"
"77","WY"
"78","PA"
"79","23"
"80","00"
"81","Au"
"82","FL"
"83","TX"
"84","PA"
"85","UK"
"86","UK"
"87","UK"
"88","KS"
"89","NV"
"90","CA"
"91","CO"
"92","AZ"
"93","NC"
"94","MA"
"95","IN"
"96","FL"
"97","AL"
"98","SC"
"99","TX"
"100","CO"
"101","KY"
"102","CO"
"103","CA"
"104","To"
"105","Ne"
"106","OR"
"107","KS"
"108","KS"
"109","OH"
"110","NS"
"111","UK"
"112","NJ"
"113","SD"
"114","SD"
"115","NY"
"116","KS"
"117","CA"
"118","Mo"
"119","MI"
"120","Ti"
"121","Ti"
"122","Se"
"123","GA"
"124","MO"
"125","To"
"126","MN"
"127","MA"
"128","IN"
"129","FL"
"130","AK"
"131","CT"
"132","CA"
"133","VA"
"134","St"
"135","TX"
"136","CA"
"137","VT"
"138","FL"
"139","WA"
"140","MN"
"141","KS"
"142","CA"
"143","Co"
"144","Au"
"145","MN"
"146","NY"
"147","ON"
"148","GA"
"149","CA"
"150","Se"
"151","NC"
"152","UK"
"153","IN"
"154","Ne"
"155","KS"
"156","WI"
"157","NJ"
"158","IN"
"159","IN"
"160","DC"
"161","IL"
"162","TX"
"163","FL"
"164","FL"
"165","NC"
"166","NJ"
"167","NY"
"168","PA"
"169","TX"
"170","NJ"
"171","UK"
"172","PA"
"173","MN"
"174","MN"
"175","NV"
"176","MN"
"177","MN"
"178","MN"
"179","CO"
"180","CA"
"181","CA"
"182","WI"
"183","Ro"
"184","Ne"
"185","NC"
"186","KS"
"187","CO"
"188","MT"
"189","Sw"
"190","DC"
"191","FL"
"192","Ce"
"193","MI"
"194","CA"
"195","TN"
"196","PA"
"197","MD"
"198","PA"
"199","MA"
"200","VA"
"201","CA"
"202","DC"
"203","TX"
"204","OH"
"205","DC"
"206","DC"
"207","MI"
"208","DC"
"209","OH"
"210","GA"
"211","FL"
"212","Sa"
"213","PA"
"214","Ca"
"215","KS"
"216","To"
"217","IA"
"218","NY"
"219","NY"
"220","BC"
"221","VA"
"222","Ne"
"223",NA
"224","OK"
"225","TN"
"226","OR"
"227","NC"
"228","NC"
"229","MA"
"230","SC"
"231","To"
"232","AZ"
"233",NA
"234","KS"
"235","Un"
"236","DC"
"237","TX"
"238","ON"
"239","DC"
"240","WI"
"241","NY"
"242","KS"
"243","Au"
"244","ON"
"245","FL"
"246","KS"
"247","CO"
"248","Ri"
"249","NE"
"250","Un"
"251","LA"
"252","MD"
"253","AB"
"254","KS"
"255","Ne"
"256","IN"
"257","Si"
"258","MI"
"259","VT"
"260","NC"
"261","DC"
"262","IN"
"263","OH"
"264","FL"
"265","Ne"
"266","GA"
"267","DC"
"268","Ne"
"269","CA"
"270","KS"
"271","PA"
"272","GA"
"273","OH"
"274","MN"
"275","FL"
"276","DC"
"277","IN"
"278","WI"
"279","DC"
"280","PA"
"281","To"
"282","PA"
"283","To"
"284","OH"
"285","PA"
"286","To"
"287","MT"
"288","NC"
"289","To"
"290","Ne"
"291","DC"
"292","FL"
"293","MA"
"294","MT"
"295","NY"
"296","PA"
"297","MO"
"298","MO"
"299","Ne"
"300","ID"
"301","DC"
"302","TX"
"303","MO"
"304","MO"
"305","Ne"
"306","ON"
"307","MD"
"308","MN"
"309","TX"
"310","UK"
"311","Ne"
"312","ON"
"313","PA"
"314","ON"
"315","NJ"
"316","MO"
"317","ON"
"318","DC"
"319","MO"
"320","Sa"
"321","OH"
"322","ON"
"323","MD"
"324","UT"
"325","Ne"
"326","MT"
"327","To"
"328","ON"
"329","IL"
"330","WA"
"331","Na"
"332","OH"
"333","CA"
"334","KS"
"335","GA"
"336","MD"
"337","Ne"
"338","CA"
"339","CA"
"340","MN"
"341","Ne"
"342","IA"
"343","ON"
"344","To"
"345","MI"
"346","FL"
"347","OH"
"348","TX"
"349","IL"
"350","MI"
"351","CA"
"352","NJ"
"353",NA
"354","Do"
"355","MO"
"356","Co"
"357","Ne"
"358","CA"
"359","MI"
"360","FL"
"361","ON"
"362","Un"
"363","ON"
"364",NA
"365","NY"
"366","Ne"
"367","CT"
"368","FL"
"369","CA"
"370","TX"
"371","WA"
"372","CA"
"373","Ne"
"374","GA"
"375","CA"
"376","FL"
"377","PA"
"378","CA"
"379","DC"
"380","PA"
"381","IL"
"382","NC"
"383","VA"
"384","IA"
"385","IL"
"386","WI"
"387","OR"
"388","TX"
"389","IN"
"390","MI"
"391","MA"
"392","UK"
"393","Ne"
"394","Ne"
"395","MD"
"396","BC"
"397","AZ"
"398","NJ"
"399","MD"
"400","NY"
"401","TN"
"402","KS"
"403","No"
"404","CA"
"405","VT"
"406","CA"
"407","IN"
"408","CA"
"409","Ne"
"410","KS"
"411","TN"
"412","MD"
"413","FL"
"414","MO"
"415","GA"
"416","PA"
"417","MT"
"418","MO"
"419","NV"
"420","TX"
"421","TX"
"422","Ne"
"423","AZ"
"424","MO"
"425","TX"
"426","ON"
"427","DC"
"428","FL"
"429","OH"
"430","Se"
"431","BC"
"432","ON"
"433","NC"
"434","TX"
"435","Ne"
"436","ON"
"437","OH"
"438","TX"
"439","TX"
"440","PA"
"441","IN"
"442","NC"
"443","NC"
"444","NC"
"445","DC"
"446","NC"
"447","NC"
"448","DC"
"449","TX"
"450","PA"
"451","MA"
"452","TX"
"453","TX"
"454","MD"
"455","TN"
"456","MA"
"457","MA"
"458","UK"
"459","MA"
"460","MD"
"461","DC"
"462","MA"
"463","KS"
"464","OH"
"465","TX"
"466","WI"
"467","DC"
"468","GA"
"469","CA"
"470","PA"
"471","Ch"
"472","To"
"473",NA
"474","MD"
"475","NC"
"476",NA
"477","OH"
"478","Gl"
"479","Fi"
"480","To"
"481","CA"
"482","Se"
"483","CA"
"484","We"
"485","Au"
"486","15"
"487","MN"
"488","CA"
"489","Ch"
"490","81"
"491","CA"
"492","Do"
"493","To"
"494",NA
"495","BC"
"496","NJ"
"497","IL"
"498","UK"
"499","IN"
"500","ON"
"501","Ce"
"502","NY"
"503","VA"
"504","MA"
"505","CO"
"506","Ne"
"507","To"
"508","KG"
"509","OH"
"510","TX"
"511","Ma"
"512","Wa"
"513","IL"
"514","AR"
"515","VA"
"516","KS"
"517","To"
"518","NE"
"519","TX"
"520","To"
"521","VA"
"522","To"
"523","GA"
"524","Co"
"525","UK"
"526","KS"
"527","CA"
"528",NA
"529","Bo"
"530","AR"
"531","FL"
"532","WI"
"533","FL"
"534","CA"
"535","MD"
"536","28"
"537","UK"
"538","Co"
"539","QC"
"540","KS"
"541","Un"
"542","AZ"
"543","MN"
"544","MN"
"545","MS"
"546","UK"
"547","KS"
"548","TN"
"549","NY"
"550","MA"
"551","SD"
"552","FL"
"553","CT"
"554","AB"
"555","Ta"
"556","MO"
"557","DC"
"558","IA"
"559","TX"
"560","Ne"
"561","NY"
"562","NY"
"563","KS"
"564","TX"
"565","CA"
"566","PA"
"567","IL"
"568","TX"
"569","Ne"
"570","IL"
"571","KS"
"572",NA
"573",NA
"574","MN"
"575","MO"
"576","IN"
"577","MD"
"578","IA"
"579","WI"
"580","SD"
"581","ME"
"582","WI"
"583","RI"
"584","ME"
"585","GA"
"586","Na"
"587","FL"
"588","OH"
"589","Se"
"590","IL"
"591","DC"
"592","AZ"
"593","NJ"
"594","To"
"595","PA"
"596","Na"
