"","str_sub.a.3...2..3."
"1","Se"
"2","TX"
"3","WI"
"4","OR"
"5","KY"
"6","TX"
"7","TX"
"8","IL"
"9","IL"
"10","OH"
"11","Pa"
"12","KS"
"13","Ne"
"14","CA"
"15","IN"
"16","QC"
"17","Ja"
"18","IL"
"19","Ne"
"20","Co"
"21","Au"
"22","FL"
"23","Fi"
"24","KS"
"25","CA"
"26","KG"
"27","TX"
"28","Co"
"29","NY"
"30","IL"
"31","MI"
"32","To"
"33","To"
"34","Ka"
"35","VA"
"36","CA"
"37","UT"
"38","TX"
"39","VA"
"40","PA"
"41","TX"
"42","NY"
"43","KS"
"44","TX"
"45","MA"
"46","KS"
"47","KS"
"48","NJ"
"49","CA"
"50","MO"
"51","CA"
"52","ON"
"53","TN"
"54","TX"
"55","TX"
"56","OR"
"57","CA"
"58","CA"
"59","AZ"
"60","IL"
"61","TX"
"62","OH"
"63","GA"
"64","TX"
"65","MO"
"66","AZ"
"67","NY"
"68","KS"
"69","MN"
"70","Po"
"71","IN"
"72","Sw"
"73","KS"
"74","FL"
"75","MI"
"76","CA"
"77","MA"
"78","GA"
"79","Co"
"80","MA"
"81","KS"
"82","FL"
"83","CA"
"84","CA"
"85","VA"
"86","CA"
"87","OK"
"88","Sw"
"89","OH"
"90","Se"
"91","QC"
"92","Ch"
"93","CA"
"94","OH"
"95","PA"
"96","IN"
"97","Ne"
"98","MD"
"99","CA"
"100","IL"
"101","GA"
"102","Co"
"103","MD"
"104","PA"
"105","TX"
"106","KS"
"107","KS"
"108","NY"
"109","CA"
"110","KS"
"111","ID"
"112","MN"
"113","IA"
"114","KS"
"115","ON"
"116","AZ"
"117","AL"
"118","TX"
"119","CA"
"120","NY"
"121","UK"
"122","UK"
"123","UK"
"124","IA"
"125","MI"
"126","MN"
"127","MI"
"128","Se"
"129","Ne"
"130","Ne"
"131","IA"
"132","Ne"
"133","NJ"
"134","FL"
"135","NC"
"136","WV"
"137","MA"
"138","KS"
"139","KS"
"140","Ne"
"141","Ne"
"142","Sw"
"143","WV"
"144","TX"
"145","TX"
"146","WV"
"147","OR"
"148","KS"
"149","UT"
"150","VA"
"151","IN"
"152","KY"
"153","KS"
"154","FL"
"155","TX"
"156","OH"
"157","23"
"158","TX"
"159","UT"
"160","CA"
"161","WI"
"162","TX"
"163","AZ"
"164","US"
"165","AB"
"166","MA"
"167","Un"
"168","BC"
"169","NC"
"170","Fr"
"171","MI"
"172","Ne"
"173","Co"
"174","Sa"
"175","IN"
"176","WA"
"177","Ne"
"178","VA"
"179","MD"
"180","ID"
"181","WA"
"182","TX"
"183","Se"
"184","OH"
"185","AZ"
"186","TN"
"187","CA"
"188","CA"
"189","KS"
"190","NY"
"191","CA"
"192","UT"
"193","Ne"
"194","IN"
"195","PA"
"196","AZ"
"197","NC"
"198","TX"
"199","CA"
"200","Un"
"201","UK"
"202","ON"
"203","IL"
"204","NC"
"205","Ne"
"206","MN"
"207","CA"
"208","CA"
"209","IL"
"210","CO"
"211","FL"
"212","IN"
"213","Un"
"214","OH"
"215","AZ"
"216","CA"
"217","MA"
"218","MO"
"219","Ne"
"220","VA"
"221","CA"
"222","NC"
"223","UT"
"224","MD"
"225","IL"
"226","MI"
"227","KS"
"228","IN"
"229","CT"
"230","WI"
"231","TX"
"232","KS"
"233","ON"
"234","CO"
"235","IL"
"236","AZ"
"237","CA"
"238","CA"
"239","VA"
"240","IL"
"241","NJ"
"242","AB"
"243","Se"
"244",NA
"245","NM"
"246","KS"
"247","PA"
"248","Ca"
"249","TX"
"250","TX"
"251","UT"
"252","US"
"253","Me"
"254","MT"
"255","CA"
"256","US"
"257","CA"
"258","WI"
"259","AL"
"260","MA"
"261","AZ"
"262","US"
"263","NY"
"264","CA"
"265","TX"
"266","PA"
"267","UK"
"268","PA"
"269","OH"
"270","ON"
"271","SC"
"272","Fi"
"273","MB"
"274","MB"
"275","TX"
"276","MB"
"277","NY"
"278","NH"
"279","TX"
"280","ON"
"281","MD"
"282","CA"
"283","TX"
"284","Ch"
"285","CA"
"286","NH"
"287","TX"
"288","MI"
"289","Ne"
"290","CA"
"291","CA"
"292","IL"
"293","KS"
"294","CA"
"295","OH"
"296","OK"
"297","MO"
"298","TX"
