"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972210498945994752",2018-03-09 20:40:20,"x1127123095","rebbeccaslife","Still coughing up a storm #sick #flu #ugh","Twitter for iPhone",,,,FALSE,FALSE,1,0,"sick flu ugh",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972185390823157761",2018-03-09 19:00:34,"x833997294","PetsPlusUsCA","Signs your dog has the flu include coughing and retching, nasal discharge, discharge from the eyes and it can progress to a fever, loss of appetite and lethargy. #DogHealth #DogFlu #Ontario https://t.co/GQ8LsQK7Sx","Hootsuite",,,,FALSE,FALSE,0,0,"DogHealth DogFlu Ontario",,"ow.ly/m0hF30iQYue","https://t.co/GQ8LsQK7Sx","http://ow.ly/m0hF30iQYue",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972183963182780416",2018-03-09 18:54:53,"x34742074","Aiervon","Being sick is the worst. I’ve had a bad flu this entire week. The flu part is almost over but the coughing sticks with you and it’s just killer.","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972177327810543616",2018-03-09 18:28:31,"x4842252928","__zzaj","can y’all stop coughing and sneezing in your hands like the flu isn’t still going around?","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/a5b6bdd8008412b1.json","Danbury","Danbury, CT","city","United States","US",,,"-73.545122 -73.400835 -73.400835 -73.545122 41.352784 41.352784 41.463455 41.463455"
"x972168961923035136",2018-03-09 17:55:17,"x155701809","spartytoon","Home sick today. Still not sure if it's a cold or maybe a mild case of the flu. Generally achy/tired. Mild sore throat, coughing.","Twitter Web Client",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972151815033839617",2018-03-09 16:47:09,"x528142083","alannahlittle","Well, Michael and I started out Spring Break sick with the flu, so y’all have fun and I’ll be here playing nurse and coughing my head off 🙃","Twitter for iPhone",,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972151455762149377",2018-03-09 16:45:43,"x222384082","ReneTXForDdub","@PaulKasishke @NEWS9 I got the vaccine and still caught the flu. Fortunately, it only lasted 5 days, but those were some miserable 5 days! Even though I no longer have the flu, I'm STILL coughing 3 weeks later. But I also have asthma.","Mobile Web (M2)","x971802156604051456","x761793240","PaulKasishke",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x761793240 15896162","PaulKasishke NEWS9","en",,,,,,,,,,,,,
"x972132811321700352",2018-03-09 15:31:38,"x123156220","its__smalls","Really hope I didn’t get this flu. But uhhh. I’m sure there’s holes in esophagus from coughing this much","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/d374fb61a20fb74f.json","Nevada","Nevada, USA","admin","United States","US",,,"-120.00574 -114.039649 -114.039649 -120.00574 35.002086 35.002086 42.002208 42.002208"
"x972102551444316162",2018-03-09 13:31:23,"x214613061","diablocain","Keto Flu Update |My Journey To Ketosis ======
Coughing and snot flying everywhere are finally over.  Detoxing sugar out of my diet was a process, and for life, I will have to deny the sugar cravings.  Made if through it and as I write this I still feel t… https://t.co/1QqYnCuIvc https://t.co/DwZ5ki9rNE","IFTTT",,,,FALSE,FALSE,0,0,,,"ift.tt/2oX6HGm","https://t.co/1QqYnCuIvc","http://ift.tt/2oX6HGm","http://pbs.twimg.com/media/DX2aHnYWAAAMd68.jpg","https://t.co/DwZ5ki9rNE","https://twitter.com/diablocain/status/972102551444316162/photo/1","photo","http://pbs.twimg.com/media/DX2aHnYWAAAMd68.jpg","https://t.co/DwZ5ki9rNE","https://twitter.com/diablocain/status/972102551444316162/photo/1",,,,"en",,,,,,,,,,,,,
"x972102549493960704",2018-03-09 13:31:23,"x214613061","diablocain","Keto Flu Update |My Journey To Ketosis ======
Coughing and snot flying everywhere are finally over.  Detoxing sugar out of my diet was a process, and for life, I will have to deny the sugar cravings.  Made if through it and as I write this I still feel t… https://t.co/m7NICF4LSd","IFTTT",,,,FALSE,FALSE,0,0,,,"ift.tt/2FjqSFv","https://t.co/m7NICF4LSd","http://ift.tt/2FjqSFv",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972067808631820288",2018-03-09 11:13:20,"x306525813","jimmyg44","The amount of people coughing on my plane right now is scary.  Odds of me catching something is pretty good.  SARS? Bird flu?  Gout?  Gangrene ?","Echofon",,,,FALSE,FALSE,5,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971999296131248129",2018-03-09 06:41:05,"x2797555599","Keyhala","Also I have the flu and horrible coughing and fever so half of this feeling like I want to die is probably that","Twitter for iPhone","x971999173359710208","x2797555599","Keyhala",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971918316435574789",2018-03-09 01:19:18,"x31571894","AgnesKoppandi","Now I know flu season is about to end but that doesn’t mean anyone can get reckless with their sneezing and coughing... cover, your, face. All of it.","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971901242887651333",2018-03-09 00:11:28,"x3041448306","mcmihelk_brenda","RT @destineybleu: What has worked best for you when you have the flu? I’ve been in bed since 7P yesterday in a full sweatsuit and I’m still…","Twitter for Android",,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x21531128","destineybleu","en",,,"x971847055759966208","What has worked best for you when you have the flu? I’ve been in bed since 7P yesterday in a full sweatsuit and I’m still freezing, yet sweating, I can’t stop coughing and my body feels like I got hit by a car. 🆘",,,,,,,,,
"x971892396563759104",2018-03-08 23:36:18,"x938984232587841536","LuisAva63979712","RT @destineybleu: What has worked best for you when you have the flu? I’ve been in bed since 7P yesterday in a full sweatsuit and I’m still…","Twitter for Android",,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x21531128","destineybleu","en",,,"x971847055759966208","What has worked best for you when you have the flu? I’ve been in bed since 7P yesterday in a full sweatsuit and I’m still freezing, yet sweating, I can’t stop coughing and my body feels like I got hit by a car. 🆘",,,,,,,,,
"x971848204630286336",2018-03-08 20:40:42,"x3922676957","AlliSkittles","RT @destineybleu: What has worked best for you when you have the flu? I’ve been in bed since 7P yesterday in a full sweatsuit and I’m still…","Twitter for Android",,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x21531128","destineybleu","en",,,"x971847055759966208","What has worked best for you when you have the flu? I’ve been in bed since 7P yesterday in a full sweatsuit and I’m still freezing, yet sweating, I can’t stop coughing and my body feels like I got hit by a car. 🆘",,,,,,,,,
"x971847055759966208",2018-03-08 20:36:08,"x21531128","destineybleu","What has worked best for you when you have the flu? I’ve been in bed since 7P yesterday in a full sweatsuit and I’m still freezing, yet sweating, I can’t stop coughing and my body feels like I got hit by a car. 🆘","Twitter for iPhone",,,,FALSE,FALSE,16,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971841767661293568",2018-03-08 20:15:08,"x539662685","ElleMCo","I think I’m getting sick again. I’m coughing like I smoke 50 packs of cigarettes. I just had a terrible flu. I can’t catch a break.","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971834194195345408",2018-03-08 19:45:02,"x370503326","Cherry_Willow","Still coughing and sniffly from that flu. It's just annoying at this point. Glad I feel better overall at least.","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971805211902824448",2018-03-08 17:49:52,"x23897881","holleighz","This flu is not fucking around. Been a week and a half, plus. I’d just like to be able to breathe without coughing, eat without throwing up, wake up without a massive headache...","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971783784424120320",2018-03-08 16:24:43,"x3051186937","shawnaJrundle","It has been such a busy 2 weeks for me so far.Son has been so sick with the flu.He has Type A,temp has hit 104 3 times.Poor thing just cant stop coughing.Husband is sick.i cought it yesterday..this stuff is just no joke. 😷🤒","Twitter Web Client",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
