"lon","lat"
-122.3320708,47.6062095
-106.346771,56.130366
-96.7969879,32.7766642
-88.5424226,42.726053
-122.6764815,45.5230622
-82.5187629,37.4792672
-97.7430608,30.267153
-97.740254,30.270251
-88.2825668,42.0354084
-88.2825668,42.0354084
,
,
-81.6943605,41.49932
-118.0728424,33.8314045
,
,
120.5887029,15.1449853
-95.712891,37.09024
-95.712891,37.09024
-71.0588801,42.3600825
-95.712891,37.09024
-74.0059728,40.7127753
-117.9379952,33.7742692
-86.1349019,40.2671941
-73.567256,45.5016889
-76.8099041,18.0178743
-87.6297982,41.8781136
-74.0059728,40.7127753
,
-6.3758591,53.2946708
133.775136,-25.274398
-106.346771,56.130366
,
,
,
-81.3601498,28.5379491
,
25.7481511,61.92411
-95.712891,37.09024
,
-118.2436849,34.0522342
,
,
,
-77.0732748,39.5156627
77.5945627,12.9715987
,
-96.6088805,33.6356618
,
-83.753428,9.748917
,
,
-117.5848025,33.952463
-73.759201,40.672683
,
,
-87.6297982,41.8781136
,
-88.7878678,43.7844397
2.213749,46.227638
,
-85.6023643,44.3148443
-79.3831843,43.653226
-79.3831843,43.653226
,
71.9243183,30.4911461
-71.5375718,43.2081366
-81.084811,36.9484528
,
-118.3089624,33.8883487
-97.092877,35.0077519
-111.0937311,39.3209801
-98.4936282,29.4241219
-122.9006951,47.0378741
-78.4766781,38.0293059
-75.1652215,39.9525839
-95.3698028,29.7604267
,
,
,
-73.9441579,40.6781784
-98.4842465,39.011902
-98.867882,30.260428
-71.0588801,42.3600825
-102.4107493,34.2331373
-95.712891,37.09024
,
-95.712891,37.09024
-75.0259637,39.4863773
,
,
,
,
-118.2436849,34.0522342
-94.5785667,39.0997265
-117.185294,33.6971468
-79.6903316,44.3893556
-86.5804473,35.5174913
-99.9018131,31.9685988
-97.1025077,32.4334742
-120.5542012,43.8041334
-118.2436849,34.0522342
-71.6847247,41.9661165
-122.4194155,37.7749295
,
,
-112.0740373,33.4483771
,
-75.6971931,45.4215296
-89.3985283,40.6331249
,
-99.9018131,31.9685988
-82.907123,40.4172871
,
,
,
-84.3879824,33.7489954
-99.9018131,31.9685988
77.2090212,28.6139391
-112.0740373,33.4483771
,
,
,
-73.9554159,41.1181514
,
-95.712891,37.09024
,
,
,
-61.222503,10.691803
,
-73.993877,40.721763
-97.9413941,29.8832749
-93.2650108,44.977753
19.145136,51.919438
-86.158068,39.768403
18.643501,60.128161
,
,
,
-95.712891,37.09024
-80.1427852,25.956482
,
,
-83.7430378,42.2808256
-118.2436849,34.0522342
,
-71.8022934,42.2625932
-82.9000751,32.1656221
-74.0059728,40.7127753
-82.9987942,39.9611755
,
-80.9336753,26.7542312
-70.7258633,42.195929
-74.0059728,40.7127753
-75.1652215,39.9525839
,
-95.712891,37.09024
,
,
,
-80.340354,26.137222
,
-122.1221869,37.1260578
-122.1221869,37.1260578
,
-75.1652215,39.9525839
,
-118.1164613,34.5794343
,
-78.8689155,38.4495688
,
,
-119.4179324,36.778261
,
-73.087749,41.6032207
,
,
,
,
-97.5164276,35.4675602
,
-77.571382,40.5992395
-82.907123,40.4172871
8.227512,46.818188
-82.907123,40.4172871
,
-122.3320708,47.6062095
,
,
,
-73.567256,45.5016889
-115.1398296,36.1699412
,
,
,
0.5417861,51.4047432
,
