"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972226871806038019",2018-03-09 21:45:23,"x33236690","claugutierrezm","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","Twitter for Android",,,,FALSE,TRUE,0,33,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972226412273983489",2018-03-09 21:43:34,"x89260277","Remalzahid","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","Twitter for iPhone",,,,FALSE,TRUE,0,33,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972226254488395776",2018-03-09 21:42:56,"x2872725604","TrueTriniRed","The weekend is approaching https://t.co/7AXV3Oj8ZB If you have been run down &amp; not feeling great rest up but eat up as well Eating these can help rejuvenate your body&amp;mind It will also help strengthen your #ImmuneSystem Eat better #food for #health #wellness #nutrition &amp; medicine","Twitter Web Client",,,,FALSE,FALSE,0,0,"ImmuneSystem food health wellness nutrition",,"abcnews.go.com/Health/Coldand…","https://t.co/7AXV3Oj8ZB","http://abcnews.go.com/Health/ColdandFlu/recipes-serve-flu-fighting-superfoods/story?id=17819030",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972225991836946432",2018-03-09 21:41:54,"x546870946","LloydCBishop","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","Twitter for iPhone",,,,FALSE,TRUE,0,33,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972224791666200576",2018-03-09 21:37:08,"x109469660","champ4autism","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","Twitter for Android",,,,FALSE,TRUE,0,33,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972223883054080002",2018-03-09 21:33:31,"x328592214","BonnieHethering","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","Twitter for iPhone",,,,FALSE,TRUE,0,33,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972221098518568960",2018-03-09 21:22:27,"x2359572913","SabrinaWSB","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","Twitter for iPhone",,,,FALSE,TRUE,0,33,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972220905895194630",2018-03-09 21:21:41,"x250341622","alexmarie06","Post flu I’m 6lbs down and how I’m maintaining that is beyond me...","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972220786768535553",2018-03-09 21:21:13,"x476520376","xdom1natex","RT @NeroTweets: I fear I may be coming down with some sort of flu. Right now things are ok, but I'm constantly chilly and achy. Vondy plz","Twitter for iPad",,,,FALSE,TRUE,0,5,,,,,,,,,,,,,,"x303009020","NeroTweets","en",,,"x972215202795196416","I fear I may be coming down with some sort of flu. Right now things are ok, but I'm constantly chilly and achy. Vondy plz",,,,,,,,,
"x972219849945616386",2018-03-09 21:17:29,"x966399894096416768","johnsonleesaV","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","Twitter Web Client",,,,FALSE,TRUE,0,33,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972219707561598982",2018-03-09 21:16:55,"x910168132718874624","LawTwpNJ","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","TweetDeck",,,,FALSE,TRUE,0,33,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
