"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x971856571591356416",2018-03-08 21:13:57,"x262802162","smreine","I seem to have some mild cold or flu, with a swollen throat, headaches, &amp; fatigue. Nothing dramatic. But my work schedule has looked like this:

1 hour of outlining
1 hour of sleeping
1 hour of editing
1 hour singing songs by Placebo with a pillow over my face
1 hour of drafting","Twitter for iPad",,,,FALSE,FALSE,5,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971853330094813184",2018-03-08 21:01:04,"x615679219","DominicWolfe","Yes next time if possible, got past that horrible Flu after 3 weeks then got hit with shortness of breath, congested lungs and fatigue this week, along with doing Corporate taxes now due March 15th but will be booking shoots later this week and next, hope your doing well Bud https://t.co/cldf55gZsa","Twitter for iPhone",,,,TRUE,FALSE,0,0,,,"twitter.com/henry_darr/sta…","https://t.co/cldf55gZsa","https://twitter.com/henry_darr/status/971849041767051264",,,,,,,,,,,"en","x971849041767051264","@DominicWolfe @coachella Oh well it was a thought. Maybe next time. Would've loved a custom from Sadie. How you doing Bud? I've been a little absent lately.",,,"https://api.twitter.com/1.1/geo/id/97290292acb29ff8.json","Signal Hill","Signal Hill, CA","city","United States","US",,,"-118.184987 -118.149557 -118.149557 -118.184987 33.789789 33.789789 33.818734 33.818734"
"x971800992781086720",2018-03-08 17:33:06,"x929893429","LizParkin3","Did not expect the physical effects of bereavement. I feel as if I have flu with extreme fatigue.","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971786410909945858",2018-03-08 16:35:09,"x1061349032","helpsyhealth","Stay hydrated! The winter brings much drier air, which can lead to dehydration. Dehydration cause your body to feel sluggish and run-down, with muscle fatigue sometimes being a side effect, and also more susceptible to certain illnesses, such as cold or the flu. https://t.co/2qTIKPHTHQ","Hootsuite",,,,FALSE,FALSE,0,0,,,,,,"http://pbs.twimg.com/media/DXx6luyX4AA1-Gw.jpg","https://t.co/2qTIKPHTHQ","https://twitter.com/helpsyhealth/status/971786410909945858/photo/1","photo","http://pbs.twimg.com/media/DXx6luyX4AA1-Gw.jpg","https://t.co/2qTIKPHTHQ","https://twitter.com/helpsyhealth/status/971786410909945858/photo/1",,,,"en",,,,,,,,,,,,,
"x971786409249001472",2018-03-08 16:35:09,"x59902121","sanHelpsy","Stay hydrated! The winter brings much drier air, which can lead to dehydration. Dehydration cause your body to feel sluggish and run-down, with muscle fatigue sometimes being a side effect, and also more susceptible to certain illnesses, such as cold or the flu. https://t.co/tnmFUCsVLQ","Hootsuite",,,,FALSE,FALSE,1,0,,,,,,"http://pbs.twimg.com/media/DXx6lr3U0AAF0zu.jpg","https://t.co/tnmFUCsVLQ","https://twitter.com/sanHelpsy/status/971786409249001472/photo/1","photo","http://pbs.twimg.com/media/DXx6lr3U0AAF0zu.jpg","https://t.co/tnmFUCsVLQ","https://twitter.com/sanHelpsy/status/971786409249001472/photo/1",,,,"en",,,,,,,,,,,,,
"x971582774321827840",2018-03-08 03:05:59,"x971580000364318722","medicalspaspi","Stop by the South Padre Island Medical Spa for your hangover, fatigue, flu, and common cold CURE today!💧😱 https://t.co/r4Vd4jRXry","Twitter for iPhone",,,,FALSE,FALSE,1,0,,,,,,"http://pbs.twimg.com/media/DXvBYEdUQAE7moY.jpg","https://t.co/r4Vd4jRXry","https://twitter.com/SPIMedSpa/status/971582774321827840/photo/1","photo","http://pbs.twimg.com/media/DXvBYEdUQAE7moY.jpg","https://t.co/r4Vd4jRXry","https://twitter.com/SPIMedSpa/status/971582774321827840/photo/1",,,,"en",,,,,,,,,,,,,
"x971537145776295936",2018-03-08 00:04:40,"x22538359","sweetkeet","@TRCA_TTP No. It was horribly cold for much of the winter, and I had a flu that lasted five weeks (plus weeks of post-viral fatigue). Waiting to visit the park to see the warblers in May. Counting the minutes!","Twitter for Android","x971509872909893633","x3081463293","TRCA_TTP",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3081463293","TRCA_TTP","en",,,,,,,,,,,,,
"x971512364045651968",2018-03-07 22:26:12,"x348026902","Marla329","#FluSymptoms

Common signs and symptoms of the flu include:

Fever over 100.4 F (38 C), Aching muscles, (especially in your back, arms and legs),
Chills and sweats, Headache,Dry persistent cough, Fatigue and weakness, Nasal congestion, Sore throat.  

I've got all but the fever.","Twitter for Android",,,,FALSE,FALSE,0,0,"FluSymptoms",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971031145193394177",2018-03-06 14:34:00,"x928544569","MS_HealthUnion","The flu fatigue was 10 times worse – and kept me off my feet. Every bit of energy was needed just to roll out of bed. #MS https://t.co/Z0SyUeiEL3","TweetDeck",,,,FALSE,FALSE,5,0,"MS",,"multiplesclerosis.net/?p=33499","https://t.co/Z0SyUeiEL3","https://multiplesclerosis.net/?p=33499",,,,,,,,,,,"en",,,,,,,,,,,,,
"x970864194919780352",2018-03-06 03:30:36,"x412504618","WomensHealthCT","Flu symptoms can include #fever, headache, fatigue, dry cough, sore throat &amp; body aches. Have you had your flu shot? https://t.co/d84OeTmeG6","The Social Jukebox",,,,FALSE,FALSE,0,0,"fever",,"goo.gl/HJgaZQ","https://t.co/d84OeTmeG6","https://goo.gl/HJgaZQ",,,,,,,,,,,"en",,,,,,,,,,,,,
"x970820817151057920",2018-03-06 00:38:14,"x873980687883415552","Searching4humor","I can’t date right now because of flu fatigue...and because no one is responding to my messages. #not #dating #ohwell #ineedrestanyways https://t.co/gfSOSKF7oU","Twitter for iPad",,,,FALSE,FALSE,2,0,"not dating ohwell ineedrestanyways",,,,,"http://pbs.twimg.com/tweet_video_thumb/DXkMYTyVwAI3xFf.jpg","https://t.co/gfSOSKF7oU","https://twitter.com/Searching4humor/status/970820817151057920/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/DXkMYTyVwAI3xFf.jpg","https://t.co/gfSOSKF7oU","https://twitter.com/Searching4humor/status/970820817151057920/photo/1",,,,"en",,,,,,,,,,,,,
"x970710889337933825",2018-03-05 17:21:25,"x299135903","AliyaBhatia","RT @AliyaBhatia: The first symptom of the flu is fatigue.
The second is telling everyone you never get sick.","Twitter for iPhone",,,,FALSE,TRUE,0,8,,,,,,,,,,,,,,"x299135903","AliyaBhatia","en",,,"x846465126391799808","The first symptom of the flu is fatigue.
The second is telling everyone you never get sick.",,,,,,,,,
"x970551304983543810",2018-03-05 06:47:17,"x1684471531","Doug_Pruim","For the first time in five days I don't feel like I'm completely dying. The fever chills and fatigue were something else. Literally didn't leave the house since Wednesday. This bug was for real. #flu","Twitter Web Client",,,,FALSE,FALSE,1,0,"flu",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x970440941734649856",2018-03-04 23:28:45,"x712121409347174400","TheTickleFox","I've come down with a bad cold today, probably not the flu (only nasal symptoms, fatigue and sneezing) but my energy levels are abysmal. Will try to get caught up on anything I missed, apologizing in advance for being miserable 😅😪😷","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x970390945173733376",2018-03-04 20:10:04,"x30990098","DrErika","Misery,fevers,chills,muscle aches &amp; overwhelming fatigue has been especially severe b/c of the predominant flu strain circulating until mid-April.Get the facts 2 protect urself with Facebook Live on March 8 @ 6:30pm here: https://t.co/aH4aADZdrw #fighttheflu https://t.co/hJ1X2vJVoE","Hootsuite",,,,FALSE,FALSE,0,0,"fighttheflu",,"ow.ly/w3zH30iJNQb","https://t.co/aH4aADZdrw","http://ow.ly/w3zH30iJNQb","http://pbs.twimg.com/media/DXeFa7JU0AAlkHC.jpg","https://t.co/hJ1X2vJVoE","https://twitter.com/DrErika/status/970390945173733376/photo/1","photo","http://pbs.twimg.com/media/DXeFa7JU0AAlkHC.jpg","https://t.co/hJ1X2vJVoE","https://twitter.com/DrErika/status/970390945173733376/photo/1",,,,"en",,,,,,,,,,,,,
"x970287498512535553",2018-03-04 13:19:01,"x765138383622463488","whittieronline","RT @FredrkMemorial: The #flu is commonly associated with chills, fever, runny nose, fatigue, muscle aches, and cough. If you notice these s…","Tweetbot for Mac",,,,FALSE,TRUE,0,1,"flu",,,,,,,,,,,,,"x44923226","FredrkMemorial","en",,,"x969565998675365888","The #flu is commonly associated with chills, fever, runny nose, fatigue, muscle aches, and cough. If you notice these symptoms, make sure you take precaution to heal your body and avoid spreading infection. #HealthyFrederick https://t.co/VGeKtXd241",,,,,,,,,
"x970209440438759426",2018-03-04 08:08:50,"x48774222","ReoMC","Let's see...

- Red, watery eyes.
- Constant fatigue.
- Dry, sore throat w/ consistent Michael Wincott impression.
- Harsh cough w/ phlegm in throat.
- Appreciation for Juggalo music.
- Sore joints in limbs. 

Yep. Entering into a flu. :(","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x970114355080712193",2018-03-04 01:51:00,"x38200772","DeannaSader","@crazedceladon @landis_melinda Most Lyme research shows that chronic fatigue is actually Lyme disease. Thank God I have my husband who helps me fight, otherwise, honestly, I would have thrown in the towel a while ago. It’s like living with the worst stomach flu 24/7 &amp; your body is on fire plus you can’t walk.","Twitter for iPhone","x970104099260657664","x4679620934","crazedceladon",FALSE,FALSE,2,0,,,,,,,,,,,,,,"x4679620934 4260487493","crazedceladon landis_melinda","en",,,,,,,,,,,,,
"x970105258415394816",2018-03-04 01:14:51,"x3120973128","treasner9901","RT @EverydayHealth: The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j…","Twitter for Android",,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,"x17393790","EverydayHealth","en",,,"x969932424875520001","The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j71NhiyvEv 

- Fever
- Chills or sweats
- Body aches
- Muscle and joint pain
- Fatigue
- Nausea https://t.co/hcdtNZYN42",,,,,,,,,
"x970006419348054016",2018-03-03 18:42:06,"x1315266596","MackenzieMarina","RT @EverydayHealth: The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j…","Twitter for iPad",,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,"x17393790","EverydayHealth","en",,,"x969932424875520001","The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j71NhiyvEv 

- Fever
- Chills or sweats
- Body aches
- Muscle and joint pain
- Fatigue
- Nausea https://t.co/hcdtNZYN42",,,,,,,,,
"x969933536022102016",2018-03-03 13:52:30,"x1183009447","Dr_Zode","RT @EverydayHealth: The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j…","Twitter for Android",,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,"x17393790","EverydayHealth","en",,,"x969932424875520001","The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j71NhiyvEv 

- Fever
- Chills or sweats
- Body aches
- Muscle and joint pain
- Fatigue
- Nausea https://t.co/hcdtNZYN42",,,,,,,,,
"x969932922584207360",2018-03-03 13:50:03,"x22230837","SampleATL","RT @EverydayHealth: The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j…","Twitter for iPhone",,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,"x17393790","EverydayHealth","en",,,"x969932424875520001","The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j71NhiyvEv 

- Fever
- Chills or sweats
- Body aches
- Muscle and joint pain
- Fatigue
- Nausea https://t.co/hcdtNZYN42",,,,,,,,,
"x969932856758800385",2018-03-03 13:49:48,"x806286042135482368","VanessaKulik1","RT @EverydayHealth: The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j…","Twitter for Android",,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,"x17393790","EverydayHealth","en",,,"x969932424875520001","The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j71NhiyvEv 

- Fever
- Chills or sweats
- Body aches
- Muscle and joint pain
- Fatigue
- Nausea https://t.co/hcdtNZYN42",,,,,,,,,
"x969932424875520001",2018-03-03 13:48:05,"x17393790","EverydayHealth","The early symptoms of this disease often resembles signs of the flu or influenza infection, including... https://t.co/j71NhiyvEv 

- Fever
- Chills or sweats
- Body aches
- Muscle and joint pain
- Fatigue
- Nausea https://t.co/hcdtNZYN42","SocialFlow",,,,FALSE,FALSE,9,6,,,"trib.al/7VLpxs2","https://t.co/j71NhiyvEv","https://trib.al/7VLpxs2","http://pbs.twimg.com/media/DXXkZdmX0AIee6m.jpg","https://t.co/hcdtNZYN42","https://twitter.com/EverydayHealth/status/969932424875520001/photo/1","photo","http://pbs.twimg.com/media/DXXkZdmX0AIee6m.jpg","https://t.co/hcdtNZYN42","https://twitter.com/EverydayHealth/status/969932424875520001/photo/1",,,,"en",,,,,,,,,,,,,
"x969622133428154368",2018-03-02 17:15:05,"x22169214","scarie","@RitziWrites I was off school for 2/3 months with it ! The fatigue is the hardest bit. For weeks my mam was told I just had the flu and to stop being an over anxious mother ...","Twitter for iPhone","x969620572207534080","x102377404","RitziWrites",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x102377404","RitziWrites","en",,,,,,,,,,,,,
