"lon","lat"
-95.712891,37.09024
-118.1937395,33.7700504
,
-119.4179324,36.778261
,
-97.1681257,26.1118401
,
-82.907123,40.4172871
-75.1652215,39.9525839
,
,
,
-86.8752869,40.4167022
-95.712891,37.09024
-74.0059728,40.7127753
-77.4105409,39.4142688
-119.4179324,36.778261
-87.6297982,41.8781136
,
,
8.675277,9.081999
-84.3879824,33.7489954
,
,
-7.6920536,53.1423672
-77.4105409,39.4142688
-75.8238355,39.9831616
-95.3698028,29.7604267
-95.712891,37.09024
,
-122.0355736,47.6162683
,
-87.6297982,41.8781136
-82.5306527,27.3364347
,
,
-95.712891,37.09024
-81.1637245,33.836081
-75.1652215,39.9525839
-73.9441579,40.6781784
-119.7889248,36.9915398
,
-97.7430608,30.267153
-95.712891,37.09024
