"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972121442216132610",2018-03-09 14:46:27,"x4745960293","madsfabs","nothing like having the flu and you’re still required to show up for work, even with the vomiting and fever :))","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972101963432255488",2018-03-09 13:29:03,"x760575899334942720","EmetophobiaFix","Traumatic events include a long bout of stomach flu, accidentally vomiting in public, or having to witness someone else vomit.","MetallonApp",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972054052229058561",2018-03-09 10:18:40,"x457875435","JanetJme","RT @NHSaaa: At this time of year more illnesses are circulating, the most common being flu and norovirus. If you are unwell, have signs of…","Twitter for iPhone",,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x395312602","NHSaaa","en",,,"x971746157167828993","At this time of year more illnesses are circulating, the most common being flu and norovirus. If you are unwell, have signs of a respiratory infection or diarrhoea and vomiting please do not visit our hospitals until you are well and free of symptoms.",,,,,,,,,
"x971928798248734720",2018-03-09 02:00:57,"x288957020","helgeb32","I think the worst part about having the stomach flu as an adult is that you smell like BO and bad breath constantly despite showers and teeth brushing. 
.
.
. 
On second thought, no, the vomiting is the worst part. Definitely the vomiting.","Twitter for iPhone",,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971859878401789954",2018-03-08 21:27:05,"x628338599","DavidThomsonNHS","RT @NHSaaa: At this time of year more illnesses are circulating, the most common being flu and norovirus. If you are unwell, have signs of…","Twitter for Android",,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x395312602","NHSaaa","en",,,"x971746157167828993","At this time of year more illnesses are circulating, the most common being flu and norovirus. If you are unwell, have signs of a respiratory infection or diarrhoea and vomiting please do not visit our hospitals until you are well and free of symptoms.",,,,,,,,,
"x971746157167828993",2018-03-08 13:55:12,"x395312602","NHSaaa","At this time of year more illnesses are circulating, the most common being flu and norovirus. If you are unwell, have signs of a respiratory infection or diarrhoea and vomiting please do not visit our hospitals until you are well and free of symptoms.","Hootsuite",,,,FALSE,FALSE,2,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971614465153208320",2018-03-08 05:11:54,"x1216692434","EliciaRopte","@AndSkinnejd Weren’t sure if we were under the 48 hour mark w/ my son. Pediatrician recommended against it. Said it could cause severe vomiting &amp; maybe only shorten flu by 1-2 days.🤷🏻‍♀️","Twitter for iPhone","x971613002926641153","x1434603397","AndSkinnejd",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x1434603397","AndSkinnejd","en",,,,,,,,,,,,,
"x971571927427973125",2018-03-08 02:22:53,"x4780491","hiimcraker","Falling in love is like having the stomach flu. Asking her or him out is the inevitable vomiting portion of the romantic pursuit. Whether you’re approved or rejected, you’ll still dry heave and feel like CRAP for the next few days.","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x971492693372166144",2018-03-07 21:08:02,"x26958212","captaindingbat","Went to @huntingtonnews after violently vomiting/pooping with a stomach flu and had to ASK FOR SOME SALINE. Then got zofran and motrin. Left still feeling terrible, and will never go back.","Twitter Web Client",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,"x24780053","huntingtonnews","en",,,,,,,,,,,,,
"x971106417443835904",2018-03-06 19:33:06,"x600259290","Rencsiikehh","RT @EmetophobiaFix: Traumatic events include a long bout of stomach flu, accidentally vomiting in public, or having to witness someone else…","Twitter for Android",,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,"x760575899334942720","EmetophobiaFix","en",,,"x971105409296732161","Traumatic events include a long bout of stomach flu, accidentally vomiting in public, or having to witness someone else vomit.",,,,,,,,,
