"lon","lat"
-112.4455344,42.8713032
-111.9260519,33.4941704
,
-94.6858998,46.729553
,
,
-93.6091064,41.6005448
-95.712891,37.09024
-118.2436849,34.0522342
-79.3717401,43.6198449
-111.9260519,33.4941704
,
,
-86.902298,32.3182314
-95.3698028,29.7604267
,
-119.4179324,36.778261
-73.9441579,40.6781784
,
-4.251806,55.864237
-4.659948,55.541332
-0.448632,51.753241
-111.9260519,33.4941704
-77.0010786,41.2411897
-4.629179,55.458564
-94.8327618,43.0391346
,
,
-85.6023643,44.3148443
-93.2650108,44.977753
-83.0883889,42.3641108
-95.712891,37.09024
-86.158068,39.768403
-122.3320708,47.6062095
-74.0059728,40.7127753
-122.989827,45.5228939
-74.0059728,40.7127753
,
,
-94.8327618,43.0391346
,
,
-74.0059728,40.7127753
-71.0588801,42.3600825
-74.4056612,40.0583238
-82.5306527,27.3364347
,
,
-79.0192997,35.7595731
