"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972226568742428674",2018-03-09 21:44:11,"x107221826","DrGuptaMD","RT @CarrieHodousek: WV Health Officer @DrGuptaMD says fewer people are getting sick with the #flu, but the season isn't over just yet. This…","Twitter Lite",,,,FALSE,TRUE,0,3,"flu",,,,,,,,,,,,,"x1271257644 107221826","CarrieHodousek DrGuptaMD","en",,,"x972175590638936065","WV Health Officer @DrGuptaMD says fewer people are getting sick with the #flu, but the season isn't over just yet. This map from the @CDCgov shows influenza activity levels in the U.S. this week.

STORY HERE: https://t.co/BJgSgt2033 https://t.co/7Lc2hzno4Q",,,,,,,,,
"x972226394603343872",2018-03-09 21:43:30,"x405136502","rub_me_wrong_","@helloross @JACKIEBEAT @MissSherryVine I wish I could be there:(
I wanted to go to the late show tonight but unfortunately I am home sick with the flu 🤒","Twitter for iPhone","x972226091921244160","x15033845","helloross",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x15033845 28684544 191988454","helloross JACKIEBEAT MissSherryVine","en",,,,,,,,,,,,,
"x972222256792432640",2018-03-09 21:27:03,"x761669041404669952","nurseegan","Flu update Friday-CDC says the number of people sick with flu is ⬇️.  However, the CDC reminds us that we're still in flu season and to exercise caution. Frequent hand-washing and hand-sanitizing continue to be critical steps in stopping the spread of flu. @MilfordSchools","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,"x117935931","MilfordSchools","en",,,,,,,,,,,,,
"x972216091203260416",2018-03-09 21:02:33,"x43906311","megami771","Kick #sick! https://t.co/Jcdcj1EbAs https://t.co/2DjG4PvK1Z","SocialOomph",,,,FALSE,FALSE,0,0,"sick",,"bit.ly/2AzVcbz","https://t.co/Jcdcj1EbAs","http://bit.ly/2AzVcbz","http://pbs.twimg.com/media/DX4BYF8VwAExybu.jpg","https://t.co/2DjG4PvK1Z","https://twitter.com/megami771/status/972216091203260416/photo/1","photo","http://pbs.twimg.com/media/DX4BYF8VwAExybu.jpg","https://t.co/2DjG4PvK1Z","https://twitter.com/megami771/status/972216091203260416/photo/1",,,,"en",,,,,,,,,,,,,
"x972200527021867008",2018-03-09 20:00:42,"x117797756","chicagopixels","#CDC Says #Flu Season Not Over Yet: CHICAGO (CNN) — The number of people sick with flu has… https://t.co/FNXTun3umA","Google",,,,FALSE,FALSE,0,0,"CDC Flu",,"goo.gl/fb/LvyiaE","https://t.co/FNXTun3umA","https://goo.gl/fb/LvyiaE",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972200249828798464",2018-03-09 19:59:36,"x19664367","DanSkinnerArt","RT @DanSkinnerArt: This was one of the better emails I got about my novel, MEMORIZING YOU: ""I finished your beautiful book last week with a…","Twitter Web Client",,,,FALSE,TRUE,0,22,,,,,,,,,,,,,,"x19664367","DanSkinnerArt","en",,,"x936116805290078208","This was one of the better emails I got about my novel, MEMORIZING YOU: ""I finished your beautiful book last week with a crying jag so nonstop and hard that I got sick. So I took my mom to get her flu shot and then gave her your book!"" https://t.co/knUvzLIudh #iartg #mustread #rt https://t.co/Hy98Dh3nfQ",,,,,,,,,
"x972198894217113600",2018-03-09 19:54:13,"x15995895","angelabaggetta","My husband has been diagnosed with the flu and I just cannot get sick for at least another week (ideally two) help","Twitter Web Client",,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972198047810801665",2018-03-09 19:50:51,"x919828957","ZFernandez13","Came home sick, and then finished off spring break with everyone in the house having the stomach flu... Nice...","Twitter for iPhone",,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972192477443739648",2018-03-09 19:28:43,"x16954507","velgor","Had my shot last year, and now sick for the second time with the flu—worse than that first. This shit is absurd.","Twitterrific for Mac",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972189981174312962",2018-03-09 19:18:48,"x380642173","le_sinji","Been sick for a week with the flu, and what better way to feel better then playing some cs:go. 
I will be playing a faceit points cup! cu there &lt;3
#sinarmy #bestbeardyo #ezwin

https://t.co/6Q1cyCZbe8
https://t.co/6Q1cyCZbe8 https://t.co/0VhQdNj4U5","Twitter Web Client",,,,FALSE,FALSE,0,0,"sinarmy bestbeardyo ezwin",,"twitch.tv/sinjitheone twitch.tv/sinjitheone","https://t.co/6Q1cyCZbe8 https://t.co/6Q1cyCZbe8","http://www.twitch.tv/sinjitheone http://www.twitch.tv/sinjitheone","http://pbs.twimg.com/ext_tw_video_thumb/972189842141478912/pu/img/6GFSYtK7fLV_ZcnX.jpg","https://t.co/0VhQdNj4U5","https://twitter.com/le_sinji/status/972189981174312962/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/972189842141478912/pu/img/6GFSYtK7fLV_ZcnX.jpg","https://t.co/0VhQdNj4U5","https://twitter.com/le_sinji/status/972189981174312962/video/1",,,,"en",,,,,,,,,,,,,
