"lon","lat"
-81.6326234,38.3498195
-73.134961,40.789142
-71.5163049,42.1398577
-95.712891,37.09024
,
-95.712891,37.09024
-74.0059728,40.7127753
,
-74.0059728,40.7127753
18.643501,60.128161
-81.6326234,38.3498195
-96.7969879,32.7766642
-96.0617155,33.0929274
-81.6326234,38.3498195
,
-121.3153096,44.0581728
-81.6326234,38.3498195
-97.9297743,38.0608445
-111.0937311,39.3209801
,
-81.4498717,37.2232316
,
-86.158068,39.768403
-82.5187629,37.4792672
-95.712891,37.09024
-81.9228604,28.9174855
-96.2180209,28.8713733
-73.9441579,40.6781784
-82.907123,40.4172871
,
,
,
,
,
,
-73.9441579,40.6781784
-74.0059728,40.7127753
,
19.5033041,47.162494
-118.3419488,34.1017048
,
-102.4107493,34.2331373
-111.0937311,39.3209801
,
,
,
-122.4194155,37.7749295
-89.0179332,42.6251506
,
-112.84184,49.69349
-106.4850217,31.7618778
-69.7908786,44.2859022
-112.0740373,33.4483771
-64.896335,18.335765
,
,
-113.4909267,53.544389
-70.934205,41.6362152
,
-106.346771,56.130366
,
,
-122.8456817,49.1151741
-78.898619,35.9940329
,
,
-82.9000751,32.1656221
7.7521113,48.5734053
-85.6023643,44.3148443
-74.0059728,40.7127753
-96.0617155,33.0929274
,
-7.6920536,53.1423672
30.3350986,59.9342802
,
,
,
,
,
,
,
-86.158068,39.768403
-122.3400418,47.7875604
-74.0059728,40.7127753
-77.2405153,38.9085472
-76.6412712,39.0457549
-114.7420408,44.0682019
-120.7401385,47.7510741
-95.3698028,29.7604267
,
-84.2700179,37.8393332
-122.3320708,47.6062095
,
-84.5603187,39.3454673
-111.8412502,33.3061605
-86.5804473,35.5174913
,
-118.2436849,34.0522342
,
-81.655651,30.3321838
-119.4179324,36.778261
-117.1610838,32.715738
,
,
,
-95.712891,37.09024
,
,
,
-73.9441579,40.6781784
-118.1541632,34.6867846
-78.6341996,42.8982361
,
,
,
-111.8910474,40.7607793
,
,
-74.0059728,40.7127753
,
-86.1349019,40.2671941
-78.4766781,38.0293059
,
-95.712891,37.09024
-97.7277959,31.1171194
-117.9890327,33.8446694
-77.1945247,41.2033216
-112.0740373,33.4483771
-79.0192997,35.7595731
-99.9018131,31.9685988
,
-117.5664384,33.8752935
-106.346771,56.130366
-3.435973,55.378051
,
,
-76.4859544,44.2311717
-87.6297982,41.8781136
,
-98.4936282,29.4241219
-79.0192997,35.7595731
,
-74.0059728,40.7127753
-94.2020084,46.3526733
-118.8073729,34.1466467
-118.2436849,34.0522342
-89.3985283,40.6331249
-104.8183565,38.9082601
-81.5157535,27.6648274
,
,
,
-86.01335,39.9567548
-106.346771,56.130366
-89.2137254,43.1836046
-82.907123,40.4172871
-111.789027,33.3528264
-72.458236,41.9172826
25.7481511,61.92411
-117.1825381,34.0555693
-121.8374777,39.7284944
-81.3792365,28.5383355
-71.3824374,42.4072107
-92.3340724,38.9517053
-74.0059728,40.7127753
-76.889606,37.6795774
-117.8265049,33.6845673
-79.0192997,35.7595731
-111.8910474,40.7607793
-76.915807,38.928167
-87.6297982,41.8781136
,
-73.9095279,42.0218762
,
,
,
-85.6023643,44.3148443
-95.712891,37.09024
-87.5710898,37.9715592
-111.8910474,40.7607793
-73.087749,41.6032207
-88.7878678,43.7844397
,
-96.0617155,33.0929274
-95.712891,37.09024
,
-80.9530353,46.522099
-104.8213634,38.8338816
,
,
-80.4549026,38.5976262
,
-87.6297982,41.8781136
-81.5190053,41.0814447
-111.0937311,34.0489281
-119.4179324,36.778261
-117.1610838,32.715738
