"status_id","created_at","user_id","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972147699385536512",2018-03-09 16:30:47,"x260437182","BlondeAngel86","@chloe_trautman NyQuil cold and flu!! Stay well hydrated. Take some vitamin c too","Twitter Lite",65,"x971468755044679685","x882726711825235968","chloe_trautman",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x882726711825235968","chloe_trautman","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972147414932049925",2018-03-09 16:29:40,"x818602348675235840","health_anbeauty","#health #beauty Buy Now: $34.99 12 VICKS VapoRub Cough Suppressant Ointment, Lavender 1.76 oz each https://t.co/Aelv5KeksP https://t.co/Ea41IwEdBu","AutoTweetPal",122,,,,FALSE,FALSE,0,0,"health beauty",,"health-andbeauty.com/Cough-Cold-and…","https://t.co/Aelv5KeksP","https://www.health-andbeauty.com/Cough-Cold-and-Flu-75038/12-vicks-vaporub-cough-suppressant-ointment-lavender-1-76-oz-each/192477327234","http://pbs.twimg.com/media/DX3C6zGX0AImNPL.jpg","https://t.co/Ea41IwEdBu","https://twitter.com/health_anbeauty/status/972147414932049925/photo/1","photo","http://pbs.twimg.com/media/DX3C6zGX0AImNPL.jpg","https://t.co/Ea41IwEdBu","https://twitter.com/health_anbeauty/status/972147414932049925/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972147369579081728",2018-03-09 16:29:29,"x240900108","mindbodythought","Everyone Knows How To Get Over A Cold or Flu  - Read the blog post at: https://t.co/8Cf0wgpIgU  #Cold  #FLU  #Healthy","The Social Jukebox",117,,,,FALSE,FALSE,0,0,"Cold FLU Healthy",,"mindbodythoughts.blogspot.com/2015/02/everyo…","https://t.co/8Cf0wgpIgU","http://mindbodythoughts.blogspot.com/2015/02/everyone-knows-how-to-get-over-cold-or.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972146141897920512",2018-03-09 16:24:36,"x2515116383","RareCandace","RT @EverydayHealth: Think you're safe from getting a cold after being exposed? It can actually occur one to three days after exposure! http…","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,"x17393790","EverydayHealth","en",,,,,,,,,,,,,,,,"x972144510087188480","Think you're safe from getting a cold after being exposed? It can actually occur one to three days after exposure! https://t.co/DPitr4876T https://t.co/5goFYt7QTw",2018-03-09 16:18:07,,1,"x17393790","EverydayHealth","Everyday Health",536346,4655,114181,"United States","Everyday Health is here to help you take better care of yourself & your family through powerful weight-loss tools, expert advice & health news and information.",TRUE,,,,,,,,,
"x972145798233206784",2018-03-09 16:23:14,"x40546249","_ktnicole","I’m just one cold/flu away from my Coachella goal weight 🙂","Twitter for iPhone",58,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972144510087188480",2018-03-09 16:18:07,"x17393790","EverydayHealth","Think you're safe from getting a cold after being exposed? It can actually occur one to three days after exposure! https://t.co/DPitr4876T https://t.co/5goFYt7QTw","SocialFlow",138,,,,FALSE,FALSE,1,1,,,"trib.al/4sP9rMH","https://t.co/DPitr4876T","https://trib.al/4sP9rMH","http://pbs.twimg.com/media/DX3ARy0VAAEQZS7.jpg","https://t.co/5goFYt7QTw","https://twitter.com/EverydayHealth/status/972144510087188480/photo/1","photo","http://pbs.twimg.com/media/DX3ARy0VAAEQZS7.jpg","https://t.co/5goFYt7QTw","https://twitter.com/EverydayHealth/status/972144510087188480/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972143890856804352",2018-03-09 16:15:39,"x111085787","DrTursha","During this ""Cold and Flu Season"", be mindful of the things you are taking to relieve your symptoms. It could do... https://t.co/mXahpMnEsl","Facebook",139,,,,FALSE,FALSE,0,0,,,"fb.me/3yHu54Epi","https://t.co/mXahpMnEsl","https://fb.me/3yHu54Epi",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972143494776016896",2018-03-09 16:14:05,"x1286003492","drzoltanrona","Tylenol toxicity study: Acetaminophen Overdosing Common, Especially in Cold/Flu Season https://t.co/XXiZzt4OKs via @medscape","Twitter Web Client",124,,,,FALSE,FALSE,0,0,,,"medscape.com/viewarticle/89…","https://t.co/XXiZzt4OKs","https://www.medscape.com/viewarticle/893658?nlid=121176_4562&src=wnl_dne_180309_mscpedit&uac=150141MY&impID=1577257&faf=1?src=soc_tw_share",,,,,,,,,"x16892009","Medscape","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972139722142339072",2018-03-09 15:59:05,"x1710381006","EcoSourceLLC","How do you properly wash your hands? Here's a great guide on how to get the most out of your hand washing:... https://t.co/q7rqTM684m","Facebook",133,,,,FALSE,FALSE,0,0,,,"fb.me/KEvgSJje","https://t.co/q7rqTM684m","https://fb.me/KEvgSJje",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972138153141325824",2018-03-09 15:52:51,"x2793391678","AnitaSherrod","@Delilahsulliv10 I am so sorry, Delilah 🙁🙁 My granddaughter has been battling a bad cold.  NY has been hit hard with the flu.  So I was worried that it would turn into it. Of course she got better than I got sick 😂😂","Twitter for Android",198,"x971749366754168833","x793185358624284672","Delilahsulliv10",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x793185358624284672","Delilahsulliv10","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
